Match ID,Match URL,League,League ID,Match Start Time,Home Team,Away Team,Home Goals,Away Goals,Home Team ID,Away Team ID,Home Expected goals (xG),Away Expected goals (xG),Home Penalties,Away Penalties,Home xG penalty,Away xG penalty,Home xG first half penalty,Away xG first half penalty,Home xG 2nd half penalty,Away xG 2nd half penalty,Home xG first half,Away xG first half,Home xG second half,Away xG second half,Home xG on target (xGOT),Away xG on target (xGOT),Home xG open play,Away xG open play,Home xG set play,Away xG set play,Home Ball possession,Away Ball possession,Home Total shots,Away Total shots,Home Chances created,Away Chances created,Home Big chances,Away Big chances,Home Accurate passes,Away Accurate passes,Home Pass success,Away Pass success,Home Fouls conceded,Away Fouls conceded,Home Corners,Away Corners,Home Offsides,Away Offsides,Home Shots,Away Shots,Home Shots on target,Away Shots on target,Home Shots off target,Away Shots off target,Home Blocked shots,Away Blocked shots,Home Shots woodwork,Away Shots woodwork,Home Shots inside box,Away Shots inside box,Home Shots outside box,Away Shots outside box,Home Own half,Away Own half,Home Opposition half,Away Opposition half,Home Passes,Away Passes,Home Touches,Away Touches,Home Long balls,Away Long balls,Home Accurate long balls,Away Accurate long balls,Home Crosses,Away Crosses,Home Accurate crosses,Away Accurate crosses,Home Throws,Away Throws,Home Duels won,Away Duels won,Home Duels,Away Duels,Home Dribbles attempteds,Away Dribbles attempteds,Home Dribbles succeeded,Away Dribbles succeeded,Home Tackles attempted,Away Tackles attempted,Home Tackles succeeded,Away Tackles succeeded,Home Aerials won,Away Aerials won,Home Interceptions,Away Interceptions,Home Discipline,Away Discipline,Home Yellow cards,Away Yellow cards,Home Red cards,Away Red cards,Home Keeper,Away Keeper,Home Saves,Away Saves,Home Diving saves,Away Diving saves,Home Saves inside box,Away Saves inside box,Home Acted as sweeper,Away Acted as sweeper,Home Punches,Away Punches
3608084,https://www.fotmob.com/livescores/3608084/matchfacts/hibernian-vs-livingston,Scotland Premiership,64,28-August-2021,Hibernian,Livingston,2,0,10251,8282,0.84,0.55,0,0,,,0.0,0.0,0.0,0.0,0.45,0.13,0.39,0.42,0.61,0.29,0.82,0.07,0.02,0.48,59,41,15,7,15,4,0,0,326,191,76%,63%,12,12,3,5,3,0,15,7,3,0,3,3,9,4,0,0,10,4,5,3,162,97,164,94,427,305,641,488,67,78,31,21,24,11,6,1,25,16,77,61,138,138,35,11,21,4,11,24,9,15,35,22,7,11,,,0,1,0,0,,,0,1,0,0,0,1,0,0,0,0
3608085,https://www.fotmob.com/livescores/3608085/matchfacts/motherwell-vs-dundee-fc,Scotland Premiership,64,28-August-2021,Motherwell,Dundee FC,1,0,9927,8284,0.23,1.28,0,0,,,0.0,0.0,0.0,0.0,0.20,0.34,0.04,0.93,0.52,0.04,0.05,1.03,0.19,0.24,40,60,4,15,4,10,0,1,194,333,64%,76%,18,14,3,4,0,0,4,15,3,2,1,6,0,7,0,1,3,9,1,6,102,167,92,166,302,441,491,651,81,81,26,33,13,23,4,6,21,30,64,66,130,130,13,14,5,5,15,20,11,11,30,25,10,4,,,2,1,1,0,,,2,2,1,0,2,1,1,0,0,0
3608077,https://www.fotmob.com/livescores/3608077/matchfacts/dundee-fc-vs-hibernian,Scotland Premiership,64,22-August-2021,Dundee FC,Hibernian,2,2,8284,10251,1.05,2.49,0,1,0.00,0.79,0.0,0.7884,0.0,0.0,0.56,1.01,0.49,1.48,2.22,3.84,0.94,1.49,0.12,0.21,45,55,11,15,11,11,2,1,225,303,68%,74%,13,16,4,6,0,1,11,15,8,7,2,5,1,3,0,0,5,11,6,4,103,188,122,115,333,411,533,618,80,77,26,36,19,15,4,5,21,20,53,69,122,122,5,18,4,12,14,10,8,6,21,35,11,11,,,5,3,0,0,,,5,6,1,4,5,3,0,0,1,0
3608078,https://www.fotmob.com/livescores/3608078/matchfacts/hearts-vs-aberdeen,Scotland Premiership,64,22-August-2021,Hearts,Aberdeen,1,1,9860,8485,1.40,0.84,1,0,0.79,0.00,0.0,0.0,0.7884,0.0,0.11,0.19,1.30,0.65,0.98,1.17,0.50,0.79,0.12,0.05,46,54,7,6,4,5,1,1,267,353,72%,78%,16,12,3,3,3,3,7,6,2,4,3,2,2,0,0,0,3,4,4,2,151,208,116,145,373,451,575,663,89,75,32,38,25,15,3,2,21,17,56,70,126,126,24,17,15,10,17,20,10,15,12,25,5,11,,,3,2,0,0,,,3,1,1,0,1,0,0,0,0,0
3608080,https://www.fotmob.com/livescores/3608080/matchfacts/ross-county-vs-rangers,Scotland Premiership,64,22-August-2021,Ross County,Rangers,2,4,8649,8548,1.65,2.35,1,0,0.79,0.00,0.0,0.0,0.7884,0.0,0.18,0.58,1.47,1.77,1.61,4.00,0.68,1.89,0.18,0.46,33,67,9,22,5,22,1,1,211,557,70%,88%,9,8,2,11,6,0,9,22,5,11,2,6,2,5,0,0,7,19,2,3,124,251,87,306,301,632,482,818,63,52,30,29,11,27,3,8,19,16,41,40,81,81,8,10,3,4,15,11,6,8,16,16,7,2,,,2,2,0,0,,,7,3,6,3,7,2,1,0,0,0
3608081,https://www.fotmob.com/livescores/3608081/matchfacts/st.-johnstone-vs-dundee-united,Scotland Premiership,64,22-August-2021,St. Johnstone,Dundee United,0,1,8467,9938,0.86,1.44,0,0,,,0.0,0.0,0.0,0.0,0.39,0.36,0.47,1.08,0.33,1.60,0.37,1.13,0.49,0.30,51,49,15,9,13,8,0,1,239,234,65%,66%,12,20,7,4,0,4,15,9,2,5,6,1,7,3,0,0,9,6,6,3,93,117,146,117,365,352,568,537,75,72,29,26,20,18,6,5,24,16,75,51,126,126,10,12,6,4,16,12,6,10,35,23,13,9,,,1,2,0,1,,,4,2,1,0,2,0,0,0,0,0
3608076,https://www.fotmob.com/livescores/3608076/matchfacts/celtic-vs-st.-mirren,Scotland Premiership,64,21-August-2021,Celtic,St. Mirren,6,0,9925,9800,6.35,0.17,0,0,,,0.0,0.0,0.0,0.0,3.29,0.12,3.07,0.05,6.88,0.06,5.92,0.14,0.43,0.04,74,26,37,3,37,3,4,0,591,162,92%,70%,18,10,15,0,0,3,37,3,12,1,13,2,12,0,2,0,24,3,13,0,151,102,440,60,642,231,815,379,27,68,21,23,31,8,11,3,21,13,49,43,92,92,12,10,10,5,11,9,7,5,18,12,7,7,,,1,2,0,1,,,1,6,1,3,1,5,0,0,1,2
3608079,https://www.fotmob.com/livescores/3608079/matchfacts/livingston-vs-motherwell,Scotland Premiership,64,21-August-2021,Livingston,Motherwell,1,2,8282,9927,1.07,2.37,0,0,,,0.0,0.0,0.0,0.0,0.12,0.61,0.95,1.77,0.95,2.57,0.94,1.60,0.13,0.78,63,37,13,15,12,14,1,2,304,147,75%,62%,14,13,4,8,0,1,13,15,3,6,7,3,3,6,0,0,10,14,3,1,157,45,147,102,408,236,591,415,90,63,39,24,22,18,6,5,26,10,51,62,113,113,11,17,4,8,10,8,6,7,24,33,5,8,,,1,1,0,0,,,4,2,2,1,4,2,1,0,2,0
3608070,https://www.fotmob.com/livescores/3608070/matchfacts/celtic-vs-dundee-fc,Scotland Premiership,64,08-August-2021,Celtic,Dundee FC,6,0,9925,8284,6.83,0.26,1,0,0.79,0.00,0.0,0.0,0.7884,0.0,3.09,0.00,3.74,0.26,6.26,0.00,5.62,0.09,0.42,0.17,74,26,31,3,31,3,5,0,652,154,91%,64%,11,12,11,3,0,4,31,3,15,0,12,3,4,0,0,0,23,3,8,0,341,97,311,57,714,240,891,383,37,57,25,19,21,10,10,2,19,19,37,38,75,75,11,4,7,1,9,15,5,10,11,11,5,9,,,0,2,0,1,,,0,8,1,6,0,6,0,0,0,0
3608072,https://www.fotmob.com/livescores/3608072/matchfacts/hibernian-vs-ross-county,Scotland Premiership,64,08-August-2021,Hibernian,Ross County,3,0,10251,8649,1.95,0.36,0,0,,,0.0,0.0,0.0,0.0,1.62,0.20,0.33,0.16,2.08,0.00,1.54,0.32,0.41,0.04,59,41,18,8,19,7,1,0,379,243,82%,74%,7,11,11,4,2,2,18,8,6,0,7,7,5,1,0,0,13,4,5,4,180,121,199,122,463,328,647,503,84,64,47,28,32,18,8,4,20,19,56,50,106,106,20,10,11,4,13,16,10,9,21,23,7,4,,,0,2,0,0,,,0,3,0,1,0,2,0,1,1,1
